FDID,Value
546620,Encrypted (Known)
546623,Encrypted (Known)
546626,Encrypted (Known)
546628,Encrypted (Unknown)
546633,Encrypted (Known)
546636,Encrypted (Unknown)
567465,Encrypted (Known)
801581,Mixed
801582,Encrypted (Unknown)
801670,Mixed
801754,Encrypted (Unknown)
801755,Encrypted (Unknown)
801756,Encrypted (Unknown)
841604,Encrypted (Unknown)
841622,Mixed
841626,Mixed
841631,Mixed
879282,Mixed
897470,Mixed
897532,Mixed
897948,Encrypted (Unknown)
897949,Mixed
897952,Mixed
897953,Mixed
897954,Encrypted (Unknown)
921760,Mixed
969941,Mixed
973430,Encrypted (Unknown)
973441,Encrypted (Unknown)
981566,Mixed
982457,Mixed
982462,Mixed
988200,Encrypted (Unknown)
1002166,Encrypted (Unknown)
1002186,Encrypted (Unknown)
1003144,Mixed
1028735,Encrypted (Unknown)
1045411,Encrypted (Unknown)
1090577,Mixed
1090578,Mixed
1092316,Encrypted (Unknown)
1093406,Encrypted (Unknown)
1101657,Mixed
1108759,Mixed
1120959,Encrypted (Unknown)
1132761,Encrypted (Unknown)
1134576,Mixed
1139062,Encrypted (Unknown)
1139443,Mixed
1139906,Mixed
1139924,Mixed
1139929,Mixed
1139939,Mixed
1139952,Encrypted (Unknown)
1139993,Encrypted (Unknown)
1140079,Mixed
1140088,Mixed
1140089,Mixed
1140477,Encrypted (Unknown)
1140479,Mixed
1140480,Mixed
1141065,Encrypted (Unknown)
1237434,Mixed
1237435,Mixed
1237436,Mixed
1251882,Encrypted (Unknown)
1251883,Encrypted (Unknown)
1251960,Encrypted (Unknown)
1260801,Encrypted (Unknown)
1263817,Encrypted (Unknown)
1263818,Encrypted (Unknown)
1266277,Encrypted (Unknown)
1266278,Mixed
1266429,Mixed
1267065,Encrypted (Unknown)
1273408,Mixed
1278399,Encrypted (Unknown)
1280614,Mixed
1282621,Mixed
1284820,Encrypted (Unknown)
1302851,Encrypted (Known)
1304323,Encrypted (Unknown)
1304324,Encrypted (Unknown)
1304325,Encrypted (Unknown)
1307289,Mixed
1308501,Encrypted (Unknown)
1310253,Encrypted (Unknown)
1310628,Encrypted (Unknown)
1313612,Encrypted (Unknown)
1329070,Encrypted (Unknown)
1332558,Encrypted (Unknown)
1343312,Encrypted (Unknown)
1344466,Mixed
1345276,Encrypted (Unknown)
1345447,Encrypted (Unknown)
1345969,Encrypted (Unknown)
1347275,Mixed
1348558,Encrypted (Unknown)
1353545,Encrypted (Unknown)
1360262,Mixed
1360263,Mixed
1361033,Encrypted (Unknown)
1368621,Encrypted (Unknown)
1376212,Mixed
1376213,Mixed
1394440,Mixed
1572924,Mixed
1576116,Encrypted (Unknown)
1576117,Mixed
1586882,Mixed
1685317,Mixed
1693131,Mixed
1720141,Encrypted (Unknown)
1758037,Encrypted (Unknown)
1782602,Encrypted (Unknown)
1782603,Encrypted (Unknown)
1782613,Encrypted (Unknown)
1782615,Encrypted (Unknown)
1782616,Encrypted (Unknown)
1782617,Encrypted (Unknown)
1782618,Encrypted (Unknown)
1782619,Encrypted (Unknown)
1782688,Not Encrypted (Deduped)
1782689,Not Encrypted (Deduped)
1783470,Encrypted (Unknown)
1783471,Encrypted (Unknown)
1783472,Encrypted (Unknown)
1864302,Mixed
1989276,Mixed
1990283,Mixed
2143631,Encrypted (Known)
2144058,Encrypted (Known)
2144059,Encrypted (Known)
2147636,Not Encrypted (Deduped)
2147641,Encrypted (Known)
2147656,Encrypted (Known)
2167699,Not Encrypted (Deduped)
2301514,Encrypted (Known)
2340076,Not Encrypted (Deduped)
2340078,Not Encrypted (Deduped)
2340081,Not Encrypted (Deduped)
2340085,Not Encrypted (Deduped)
2342501,Encrypted (Known)
2433582,Encrypted (Unknown)
2529827,Encrypted (Known)
2529832,Encrypted (Known)
2529834,Encrypted (Known)
2529836,Encrypted (Known)
