FDID,Source
21,Auto
53183,Auto
53184,Auto
53185,Auto
53186,Auto
53187,Auto
53188,Auto
53189,Auto
53190,Auto
53191,Auto
53192,Auto
53193,Auto
53194,Auto
53195,Auto
53196,Auto
53197,Auto
53198,Auto
53199,Auto
53200,Auto
53201,Auto
53202,Auto
53203,Auto
53204,Auto
53205,Auto
53206,Auto
53207,Auto
53208,Auto
53209,Auto
53210,Auto
53211,Auto
53212,Auto
53213,Auto
53214,Auto
53215,Auto
53216,Auto
53217,Auto
53218,Auto
53219,Auto
53223,Auto
53224,Auto
53225,Auto
53226,Auto
53227,Auto
53228,Auto
53229,Auto
53230,Auto
53231,Auto
53232,Auto
53234,Auto
53235,Auto
53236,Auto
53237,Auto
53238,Auto
53239,Auto
53240,Auto
53241,Auto
53242,Auto
53243,Auto
53244,Auto
53245,Auto
53246,Auto
53247,Auto
53248,Auto
53249,Auto
53250,Auto
53251,Auto
53252,Auto
53253,Auto
53254,Auto
53256,Auto
53257,Auto
53258,Auto
53259,Auto
53261,Auto
53262,Auto
53263,Auto
53264,Auto
53265,Auto
53266,Auto
53267,Auto
53268,Auto
53269,Auto
53270,Auto
53271,Auto
53272,Auto
53273,Auto
53274,Auto
53275,Auto
53276,Auto
53277,Auto
53299,Auto
53300,Auto
53301,Auto
53302,Auto
53303,Auto
53304,Auto
53426,Auto
53427,Auto
53428,Auto
53429,Auto
53430,Auto
53431,Auto
53432,Auto
53433,Auto
53434,Auto
53435,Auto
53436,Auto
53437,Auto
53453,Auto
53454,Auto
53455,Auto
53456,Auto
53457,Auto
53486,Auto
53487,Auto
53488,Auto
53489,Auto
53490,Auto
53491,Auto
53492,Auto
53493,Auto
53494,Auto
53495,Auto
53496,Auto
53497,Auto
53498,Auto
53519,Auto
53541,Auto
53542,Auto
53543,Auto
53544,Auto
53545,Auto
53546,Auto
53577,Auto
53578,Auto
53579,Auto
53580,Auto
53581,Auto
53582,Auto
53583,Auto
53591,Auto
53592,Auto
53593,Auto
53594,Auto
53595,Auto
53596,Auto
53597,Auto
53598,Auto
53599,Auto
53600,Auto
53601,Auto
53602,Auto
53603,Auto
53604,Auto
53605,Auto
53606,Auto
53607,Auto
53608,Auto
53609,Auto
53610,Auto
53611,Auto
53612,Auto
53613,Auto
53614,Auto
53615,Auto
53616,Auto
53617,Auto
53618,Auto
53619,Auto
53680,Auto
53681,Auto
53682,Auto
53683,Auto
53684,Auto
53685,Auto
53686,Auto
53687,Auto
53688,Auto
53695,Auto
53696,Auto
53697,Auto
53698,Auto
53699,Auto
53737,Auto
53738,Auto
53744,Auto
53745,Auto
53746,Auto
53747,Auto
53812,Auto
53813,Auto
53814,Auto
53815,Auto
106679,Auto
106680,Auto
106681,Auto
106682,Auto
106683,Auto
106684,Auto
106685,Auto
106686,Auto
106687,Auto
106688,Auto
106689,Auto
106690,Auto
106691,Auto
106692,Auto
106693,Auto
106694,Auto
106695,Auto
106696,Auto
106697,Auto
106698,Auto
106699,Auto
106700,Auto
106701,Auto
106702,Auto
106703,Auto
106704,Auto
106705,Auto
106706,Auto
106707,Auto
106708,Auto
106709,Auto
106710,Auto
106711,Auto
106712,Auto
106713,Auto
106714,Auto
106715,Auto
106716,Auto
106717,Auto
106718,Auto
106719,Auto
106720,Auto
106721,Auto
106722,Auto
106723,Auto
106724,Auto
106725,Auto
106726,Auto
106727,Auto
106728,Auto
106729,Auto
106730,Auto
106731,Auto
106732,Auto
106733,Auto
106734,Auto
106735,Auto
106736,Auto
106737,Auto
106738,Auto
106739,Auto
106740,Auto
106741,Auto
106742,Auto
106743,Auto
106744,Auto
106745,Auto
106746,Auto
106747,Auto
106748,Auto
106749,Auto
106750,Auto
106751,Auto
106752,Auto
106753,Auto
106754,Auto
106755,Auto
106756,Auto
106757,Auto
106758,Auto
106759,Auto
106760,Auto
106761,Auto
106762,Auto
106763,Auto
106764,Auto
106765,Auto
106766,Auto
106779,Auto
106780,Auto
106781,Auto
106782,Auto
106783,Auto
106784,Auto
106785,Auto
106786,Auto
106787,Auto
106788,Auto
106789,Auto
106790,Auto
106791,Auto
106792,Auto
106793,Auto
106794,Auto
106795,Auto
106796,Auto
106797,Auto
106798,Auto
106799,Auto
106800,Auto
106801,Auto
106802,Auto
106803,Auto
106804,Auto
106805,Auto
106806,Auto
106807,Auto
106808,Auto
106809,Auto
106810,Auto
106811,Auto
106812,Auto
106813,Auto
106814,Auto
106815,Auto
106816,Auto
106817,Auto
106818,Auto
106819,Auto
106820,Auto
106821,Auto
106822,Auto
106823,Auto
106824,Auto
106825,Auto
106826,Auto
106827,Auto
106828,Auto
106829,Auto
106830,Auto
106831,Auto
106832,Auto
106833,Auto
106834,Auto
106835,Auto
106836,Auto
106837,Auto
106838,Auto
106839,Auto
106840,Auto
106841,Auto
106842,Auto
106843,Auto
106844,Auto
106845,Auto
106846,Auto
106847,Auto
106848,Auto
106849,Auto
106850,Auto
106851,Auto
106852,Auto
106853,Auto
106854,Auto
106855,Auto
106856,Auto
106857,Auto
106858,Auto
106859,Auto
106860,Auto
106861,Auto
106862,Auto
106867,Auto
106868,Auto
106869,Auto
106870,Auto
106871,Auto
106877,Auto
106878,Auto
106885,Auto
106886,Auto
106887,Auto
106888,Auto
106889,Auto
106890,Auto
106891,Auto
106892,Auto
106893,Auto
106894,Auto
106895,Auto
106896,Auto
106897,Auto
106898,Auto
106899,Auto
106900,Auto
106901,Auto
106902,Auto
106905,Auto
106906,Auto
106907,Auto
106908,Auto
106909,Auto
106910,Auto
106911,Auto
106912,Auto
106913,Auto
106914,Auto
106915,Auto
106916,Auto
106917,Auto
106918,Auto
106919,Auto
106920,Auto
106921,Auto
106922,Auto
106923,Auto
106924,Auto
106925,Auto
106926,Auto
106927,Auto
106928,Auto
106929,Auto
106930,Auto
106931,Auto
106932,Auto
106933,Auto
106934,Auto
106935,Auto
106965,Auto
106966,Auto
106967,Auto
106970,Auto
106971,Auto
106972,Auto
106973,Auto
106974,Auto
106975,Auto
106976,Auto
106977,Auto
106978,Auto
106979,Auto
106982,Auto
106983,Auto
106984,Auto
106985,Auto
106986,Auto
106987,Auto
106988,Auto
106989,Auto
106990,Auto
106991,Auto
106992,Auto
106993,Auto
106994,Auto
106995,Auto
106999,Auto
107000,Auto
107001,Auto
107002,Auto
107003,Auto
107004,Auto
107005,Auto
107006,Auto
107007,Auto
107008,Auto
107009,Auto
107010,Auto
107011,Auto
107012,Auto
107013,Auto
107014,Auto
107015,Auto
107016,Auto
107017,Auto
107018,Auto
107019,Auto
107020,Auto
107021,Auto
107022,Auto
107023,Auto
107024,Auto
107025,Auto
107026,Auto
107027,Auto
107028,Auto
107029,Auto
107030,Auto
107037,Auto
107038,Auto
107039,Auto
107040,Auto
107041,Auto
107042,Auto
107043,Auto
107044,Auto
107045,Auto
107046,Auto
107047,Auto
107048,Auto
107049,Auto
107050,Auto
107051,Auto
107052,Auto
107053,Auto
107054,Auto
107055,Auto
107056,Auto
107057,Auto
107058,Auto
107059,Auto
107060,Auto
107061,Auto
107062,Auto
107063,Auto
107064,Auto
107065,Auto
107066,Auto
107067,Auto
107068,Auto
107069,Auto
107070,Auto
107071,Auto
107072,Auto
107073,Auto
107074,Auto
107075,Auto
107076,Auto
107077,Auto
107078,Auto
107079,Auto
107080,Auto
107081,Auto
107082,Auto
107083,Auto
107084,Auto
107085,Auto
107086,Auto
107087,Auto
107088,Auto
107089,Auto
107090,Auto
107091,Auto
107092,Auto
107093,Auto
107094,Auto
107095,Auto
107096,Auto
107097,Auto
107098,Auto
107099,Auto
107100,Auto
107101,Auto
107102,Auto
107103,Auto
107104,Auto
107105,Auto
107106,Auto
107111,Auto
107112,Auto
107113,Auto
107114,Auto
107115,Auto
107116,Auto
107117,Auto
107118,Auto
107119,Auto
107120,Auto
107121,Auto
107122,Auto
107123,Auto
107124,Auto
107125,Auto
107126,Auto
107127,Auto
107128,Auto
107129,Auto
107130,Auto
107131,Auto
107132,Auto
107133,Auto
107134,Auto
107135,Auto
107136,Auto
107137,Auto
107138,Auto
107139,Auto
107140,Auto
107141,Auto
107142,Auto
107143,Auto
107144,Auto
107145,Auto
107146,Auto
107147,Auto
107148,Auto
107149,Auto
107150,Auto
107151,Auto
107152,Auto
107153,Auto
107154,Auto
107155,Auto
107156,Auto
107157,Auto
107158,Auto
107159,Auto
107160,Auto
107161,Auto
107162,Auto
107163,Auto
107164,Auto
107165,Auto
107166,Auto
107167,Auto
107168,Auto
107169,Auto
107170,Auto
107171,Auto
107172,Auto
107173,Auto
107174,Auto
107175,Auto
107176,Auto
107177,Auto
107178,Auto
107179,Auto
107180,Auto
107181,Auto
107182,Auto
107183,Auto
107184,Auto
107185,Auto
107186,Auto
107187,Auto
107188,Auto
107189,Auto
107190,Auto
107191,Auto
107192,Auto
107193,Auto
107194,Auto
107195,Auto
107196,Auto
107197,Auto
107198,Auto
107199,Auto
107200,Auto
107201,Auto
107202,Auto
107203,Auto
107204,Auto
107205,Auto
107206,Auto
107207,Auto
107208,Auto
107209,Auto
107210,Auto
107211,Auto
107212,Auto
107213,Auto
107214,Auto
107215,Auto
107216,Auto
107217,Auto
107218,Auto
107219,Auto
107220,Auto
107221,Auto
107222,Auto
107223,Auto
107224,Auto
107225,Auto
107226,Auto
107227,Auto
107228,Auto
107229,Auto
107230,Auto
107231,Auto
107232,Auto
107233,Auto
107234,Auto
107235,Auto
107236,Auto
107237,Auto
107238,Auto
107239,Auto
107240,Auto
107241,Auto
107242,Auto
107243,Auto
107244,Auto
107245,Auto
107246,Auto
107247,Auto
107248,Auto
107249,Auto
107250,Auto
107251,Auto
107252,Auto
107253,Auto
107254,Auto
107255,Auto
107256,Auto
107257,Auto
107258,Auto
107259,Auto
107260,Auto
107261,Auto
107262,Auto
107263,Auto
107264,Auto
107265,Auto
107266,Auto
107267,Auto
107268,Auto
107269,Auto
107270,Auto
107271,Auto
107272,Auto
107273,Auto
107274,Auto
107275,Auto
107276,Auto
107277,Auto
107278,Auto
107279,Auto
107280,Auto
107281,Auto
107282,Auto
107283,Auto
107284,Auto
107285,Auto
107286,Auto
107287,Auto
107288,Auto
107289,Auto
107290,Auto
107291,Auto
107292,Auto
107293,Auto
107294,Auto
107295,Auto
107296,Auto
107297,Auto
107298,Auto
107299,Auto
107300,Auto
107301,Auto
107302,Auto
107303,Auto
107304,Auto
107305,Auto
107306,Auto
107307,Auto
107308,Auto
107309,Auto
107310,Auto
107311,Auto
107312,Auto
107313,Auto
107314,Auto
107315,Auto
107316,Auto
107317,Auto
107318,Auto
107319,Auto
107320,Auto
107321,Auto
107322,Auto
107323,Auto
107324,Auto
107325,Auto
107326,Auto
107327,Auto
107328,Auto
107329,Auto
107330,Auto
107331,Auto
107332,Auto
107333,Auto
107334,Auto
107335,Auto
107336,Auto
107337,Auto
107338,Auto
107339,Auto
107340,Auto
107341,Auto
107342,Auto
107343,Auto
107344,Auto
107345,Auto
107346,Auto
107347,Auto
107348,Auto
107349,Auto
107350,Auto
107351,Auto
107352,Auto
107353,Auto
107354,Auto
107355,Auto
107356,Auto
107357,Auto
107358,Auto
107359,Auto
107360,Auto
107361,Auto
107362,Auto
107363,Auto
107364,Auto
107365,Auto
107366,Auto
107367,Auto
107368,Auto
107369,Auto
107370,Auto
107371,Auto
107372,Auto
107373,Auto
107374,Auto
107375,Auto
107376,Auto
107377,Auto
107378,Auto
107379,Auto
107380,Auto
107381,Auto
107382,Auto
107383,Auto
107384,Auto
107385,Auto
107386,Auto
107387,Auto
107388,Auto
107389,Auto
107390,Auto
107391,Auto
107392,Auto
107393,Auto
107394,Auto
107395,Auto
107396,Auto
107397,Auto
107398,Auto
107399,Auto
107400,Auto
107401,Auto
107402,Auto
107403,Auto
107404,Auto
107405,Auto
107406,Auto
107407,Auto
107408,Auto
107409,Auto
107410,Auto
107411,Auto
107412,Auto
107413,Auto
107414,Auto
107415,Auto
107416,Auto
107417,Auto
107418,Auto
107419,Auto
107420,Auto
107421,Auto
107422,Auto
107423,Auto
107424,Auto
107425,Auto
107426,Auto
107427,Auto
107428,Auto
107429,Auto
107430,Auto
107431,Auto
107432,Auto
107433,Auto
107434,Auto
107435,Auto
107436,Auto
107437,Auto
107438,Auto
107439,Auto
107440,Auto
107441,Auto
107442,Auto
107443,Auto
107444,Auto
107445,Auto
107446,Auto
107447,Auto
107448,Auto
107449,Auto
107450,Auto
107451,Auto
107452,Auto
107453,Auto
107454,Auto
107455,Auto
107456,Auto
107457,Auto
107458,Auto
107459,Auto
107460,Auto
107461,Auto
107462,Auto
107463,Auto
107464,Auto
107465,Auto
107466,Auto
107467,Auto
107468,Auto
107469,Auto
107470,Auto
107471,Auto
107472,Auto
107473,Auto
107474,Auto
107475,Auto
107476,Auto
107477,Auto
107478,Auto
107479,Auto
107480,Auto
107481,Auto
107482,Auto
107483,Auto
107484,Auto
107485,Auto
107486,Auto
107487,Auto
107488,Auto
107489,Auto
107490,Auto
107491,Auto
107492,Auto
107493,Auto
107494,Auto
