FDID,Source,Value
116921,Auto,Small
117170,Auto,Small
117400,Auto,Small
117412,Auto,Small
117437,Auto,Medium
117721,Auto,Medium
118135,Auto,Small
118355,Auto,Medium
118652,Auto,Medium
118653,Auto,Medium
118654,Auto,Medium
118667,Auto,Medium
118798,Auto,Medium
119063,Auto,Small
119159,Auto,Small
119369,Auto,Medium
119376,Auto,Medium
119563,Auto,Medium
119940,Auto,Medium
120263,Auto,Medium
120294,Auto,Medium
120590,Auto,Medium
120791,Auto,Medium
121087,Auto,Medium
121287,Auto,Medium
121608,Auto,Medium
121768,Auto,Medium
121941,Auto,Tiny
121942,Auto,Medium
121961,Auto,Medium
122055,Auto,Medium
122414,Auto,Medium
122560,Auto,Medium
122738,Auto,Medium
122815,Auto,Medium
122866,Auto,Medium
122870,Auto,Medium
122877,Auto,Medium
122883,Auto,Medium
122886,Auto,Medium
122889,Auto,Large
122893,Auto,Medium
122895,Auto,Medium
122899,Auto,Medium
122906,Auto,Medium
122910,Auto,Medium
122914,Auto,Medium
122924,Auto,Medium
122952,Auto,Medium
122953,Auto,Large
122955,Auto,Medium
122957,Auto,Medium
122961,Auto,Medium
122965,Auto,Small
122968,Auto,Medium
122971,Auto,Medium
122975,Auto,Medium
122977,Auto,Medium
122982,Auto,Medium
122988,Auto,Medium
122994,Auto,Medium
122997,Auto,Small
122999,Auto,Medium
123001,Auto,Medium
123004,Auto,Medium
123005,Auto,Small
123014,Auto,Very Large
123020,Auto,Medium
123035,Auto,Medium
123040,Auto,Small
123051,Auto,Medium
123053,Auto,Medium
123055,Auto,Small
123058,Auto,Medium
123067,Auto,Medium
123071,Auto,Medium
123079,Auto,Small
123081,Auto,Medium
123088,Auto,Small
123090,Auto,Medium
123100,Auto,Medium
123101,Auto,Large
123105,Auto,Medium
123120,Auto,Medium
123124,Auto,Large
123129,Auto,Medium
123130,Auto,Medium
123133,Auto,Medium
123137,Auto,Medium
123148,Auto,Medium
123162,Auto,Small
123170,Auto,Medium
123171,Auto,Medium
123182,Auto,Medium
123194,Auto,Medium
123200,Auto,Tiny
123205,Auto,Medium
123214,Auto,Medium
123225,Auto,Medium
123235,Auto,Medium
123240,Auto,Medium
123247,Auto,Small
123248,Auto,Small
123249,Auto,Small
123250,Auto,Small
123251,Auto,Small
123265,Auto,Large
123266,Auto,Large
123268,Auto,Medium
123275,Auto,Medium
123284,Auto,Small
123285,Auto,Medium
123288,Auto,Small
123291,Auto,Small
123299,Auto,Medium
123304,Auto,Small
123306,Auto,Small
123307,Auto,Medium
123320,Auto,Medium
123324,Auto,Medium
123329,Auto,Medium
123335,Auto,Very Large
123337,Auto,Large
123343,Auto,Small
123344,Auto,Large
123345,Auto,Medium
123348,Auto,Small
123355,Auto,Medium
123362,Auto,Small
123366,Auto,Small
123367,Auto,Large
123371,Auto,Large
123372,Auto,Medium
123375,Auto,Medium
123377,Auto,Medium
123382,Auto,Medium
123388,Auto,Medium
123410,Auto,Medium
123418,Auto,Medium
123441,Auto,Medium
123443,Auto,Medium
123455,Auto,Small
123457,Auto,Small
123459,Auto,Large
123460,Auto,Very Large
123461,Auto,Large
123465,Auto,Very Large
123496,Auto,Large
123497,Auto,Very Large
123498,Auto,Very Large
123499,Auto,Large
123500,Auto,Large
123507,Auto,Medium
123519,Auto,Medium
123522,Auto,Medium
123531,Auto,Medium
123534,Auto,Large
123538,Auto,Large
123543,Auto,Medium
123544,Auto,Medium
123553,Auto,Medium
123554,Auto,Medium
123555,Auto,Medium
123570,Auto,Medium
123577,Auto,Medium
123595,Auto,Medium
123598,Auto,Medium
123600,Auto,Medium
123603,Auto,Medium
123610,Auto,Medium
123620,Auto,Small
123622,Auto,Medium
123629,Auto,Medium
123636,Auto,Large
123661,Auto,Large
123664,Auto,Medium
123666,Auto,Large
123673,Auto,Medium
123678,Auto,Medium
123680,Auto,Medium
123682,Auto,Small
123688,Auto,Medium
123690,Auto,Medium
