Option,Description,Aliases
Vanilla,Vanilla WoW (0.5-1.12),
Classic,Vanilla Classic (1.13-1.15),
TBC,The Burning Crusade (2.0-2.4),BC,Burning Crusade,The Burning Crusade
TBC Classic,The Burning Crusade Classic (2.5.x),The Burning Crusade Classic
WotLK,Wrath of the Lich King (3.0-3.3),Wrath of the Lich King,Wrath
WotLK Classic,Wrath of the Lich King Classic (3.4.x),Wrath of the Lich King Classic
Cataclysm,Cataclysm (4.0-4.3),Cata
Cataclysm Classic,Cataclysm Classic (4.4.x),Cata Classic
MoP,Mists of Pandaria (5.0-5.3),Mists of Pandaria,Pandaria
MoP Classic,Mists of Pandaria (5.5.x),Mists of Pandaria Classic
WoD,Warlords of Draenor (6.x),Warlords of Draenor,Draenor
Legion,Legion (7.x),
BfA,Battle for Azeroth (8.x),Battle for Azeroth
SL,Shadowlands (9.x),Shadowlands
DF,Dragonflight (10.x),Dragonflight
TWW,The War Within (11.x),The War Within
Midnight,Midnight (12.x),
TLT,The Last Titan (13.x),The Last Titan
